"Commodity","Category","Item","Units","Size","Region","Country","Year","Value","Survey base year"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","U.S. total","United States",2003,164.74,"Base survey of 2003"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","U.S. total","United States",2004,161,"Base survey of 2003"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","U.S. total","United States",2005,134.87,"Base survey of 2003"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","U.S. total","United States",2006,134.64,"Base survey of 2003"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","U.S. total","United States",2007,178.19,"Base survey of 2003"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","U.S. total","United States",2008,289.19,"Base survey of 2003"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","U.S. total","United States",2009,294.53,"Base survey of 2003"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","U.S. total","United States",2010,238.9,"Base survey of 2003"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","U.S. total","United States",2011,351.88,"Base survey of 2011"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","U.S. total","United States",2012,413.09,"Base survey of 2011"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","U.S. total","United States",2013,407.32,"Base survey of 2011"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","U.S. total","United States",2014,355.23,"Base survey of 2011"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","U.S. total","United States",2015,348.87,"Base survey of 2011"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","U.S. total","United States",2016,336.78,"Base survey of 2011"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","U.S. total","United States",2017,279.46,"Base survey of 2011"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","U.S. total","United States",2018,303.74,"Base survey of 2011"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","U.S. total","United States",2019,323.22,"Base survey of 2019"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","U.S. total","United States",2020,313.93,"Base survey of 2019"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","U.S. total","United States",2021,246.93,"Base survey of 2019"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","U.S. total","United States",2022,493.01,"Base survey of 2019"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","U.S. total","United States",2023,496.93,"Base survey of 2019"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","U.S. total","United States",2024,422.07,"Base survey of 2019"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","Heartland","United States",2003,153.44,"Base survey of 2003"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","Heartland","United States",2004,109.74,"Base survey of 2003"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","Heartland","United States",2005,74.84,"Base survey of 2003"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","Heartland","United States",2006,95.55,"Base survey of 2003"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","Heartland","United States",2007,133.62,"Base survey of 2003"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","Heartland","United States",2008,230.46,"Base survey of 2003"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","Heartland","United States",2009,206.58,"Base survey of 2003"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","Heartland","United States",2010,141.35,"Base survey of 2003"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","Northern Crescent","United States",2003,149.6,"Base survey of 2003"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","Northern Crescent","United States",2004,121.55,"Base survey of 2003"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","Northern Crescent","United States",2005,105.4,"Base survey of 2003"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","Northern Crescent","United States",2006,133.87,"Base survey of 2003"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","Northern Crescent","United States",2007,161.76,"Base survey of 2003"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","Northern Crescent","United States",2008,295.36,"Base survey of 2003"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","Northern Crescent","United States",2009,265.21,"Base survey of 2003"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","Northern Crescent","United States",2010,190.5,"Base survey of 2003"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","Northern Crescent","United States",2011,249.68,"Base survey of 2011"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","Northern Crescent","United States",2012,335.92,"Base survey of 2011"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","Northern Crescent","United States",2013,255.39,"Base survey of 2011"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","Northern Crescent","United States",2014,221.12,"Base survey of 2011"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","Northern Crescent","United States",2015,234.35,"Base survey of 2011"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","Northern Crescent","United States",2016,289.67,"Base survey of 2011"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","Northern Crescent","United States",2017,281.87,"Base survey of 2011"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","Northern Crescent","United States",2018,198.51,"Base survey of 2011"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","Northern Crescent","United States",2019,283.48,"Base survey of 2019"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","Northern Crescent","United States",2020,215.87,"Base survey of 2019"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","Northern Crescent","United States",2021,281.17,"Base survey of 2019"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","Northern Crescent","United States",2022,387.2,"Base survey of 2019"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","Northern Crescent","United States",2023,424.53,"Base survey of 2019"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","Northern Crescent","United States",2024,348.74,"Base survey of 2019"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","Northern Great Plains","United States",2003,154.25,"Base survey of 2003"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","Northern Great Plains","United States",2004,137.39,"Base survey of 2003"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","Northern Great Plains","United States",2005,93.53,"Base survey of 2003"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","Northern Great Plains","United States",2006,101.86,"Base survey of 2003"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","Northern Great Plains","United States",2007,162.62,"Base survey of 2003"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","Northern Great Plains","United States",2008,262.58,"Base survey of 2003"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","Northern Great Plains","United States",2009,255,"Base survey of 2003"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","Northern Great Plains","United States",2010,192.55,"Base survey of 2003"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","Northern Great Plains","United States",2011,231.54,"Base survey of 2011"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","Northern Great Plains","United States",2012,344.66,"Base survey of 2011"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","Northern Great Plains","United States",2013,346.39,"Base survey of 2011"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","Northern Great Plains","United States",2014,309.62,"Base survey of 2011"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","Northern Great Plains","United States",2015,291.84,"Base survey of 2011"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","Northern Great Plains","United States",2016,250.06,"Base survey of 2011"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","Northern Great Plains","United States",2017,204.67,"Base survey of 2011"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","Northern Great Plains","United States",2018,232.2,"Base survey of 2011"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","Northern Great Plains","United States",2019,258.92,"Base survey of 2019"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","Northern Great Plains","United States",2020,252.25,"Base survey of 2019"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","Northern Great Plains","United States",2021,186.56,"Base survey of 2019"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","Northern Great Plains","United States",2022,428.49,"Base survey of 2019"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","Northern Great Plains","United States",2023,413.7,"Base survey of 2019"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","Northern Great Plains","United States",2024,316.41,"Base survey of 2019"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","Basin and Range","United States",2003,152.65,"Base survey of 2003"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","Basin and Range","United States",2004,154.58,"Base survey of 2003"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","Basin and Range","United States",2005,138.52,"Base survey of 2003"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","Basin and Range","United States",2006,124.58,"Base survey of 2003"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","Basin and Range","United States",2007,148.51,"Base survey of 2003"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","Basin and Range","United States",2008,265.53,"Base survey of 2003"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","Basin and Range","United States",2009,270.92,"Base survey of 2003"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","Basin and Range","United States",2010,220.99,"Base survey of 2003"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","Basin and Range","United States",2011,370.39,"Base survey of 2011"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","Basin and Range","United States",2012,432.29,"Base survey of 2011"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","Basin and Range","United States",2013,398.29,"Base survey of 2011"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","Basin and Range","United States",2014,369.6,"Base survey of 2011"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","Basin and Range","United States",2015,366.99,"Base survey of 2011"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","Basin and Range","United States",2016,355.95,"Base survey of 2011"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","Basin and Range","United States",2017,283.96,"Base survey of 2011"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","Basin and Range","United States",2018,292.95,"Base survey of 2011"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","Basin and Range","United States",2019,392.15,"Base survey of 2019"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","Basin and Range","United States",2020,389.86,"Base survey of 2019"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","Basin and Range","United States",2021,297.05,"Base survey of 2019"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","Basin and Range","United States",2022,475.73,"Base survey of 2019"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","Basin and Range","United States",2023,564.09,"Base survey of 2019"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","Basin and Range","United States",2024,490.95,"Base survey of 2019"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","Fruitful Rim","United States",2003,214.72,"Base survey of 2003"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","Fruitful Rim","United States",2004,232.72,"Base survey of 2003"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","Fruitful Rim","United States",2005,225.43,"Base survey of 2003"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","Fruitful Rim","United States",2006,215.78,"Base survey of 2003"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","Fruitful Rim","United States",2007,246.33,"Base survey of 2003"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","Fruitful Rim","United States",2008,380.87,"Base survey of 2003"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","Fruitful Rim","United States",2009,440.08,"Base survey of 2003"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","Fruitful Rim","United States",2010,377.63,"Base survey of 2003"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","Fruitful Rim","United States",2011,517.88,"Base survey of 2011"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","Fruitful Rim","United States",2012,576.85,"Base survey of 2011"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","Fruitful Rim","United States",2013,569.97,"Base survey of 2011"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","Fruitful Rim","United States",2014,471.52,"Base survey of 2011"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","Fruitful Rim","United States",2015,544.29,"Base survey of 2011"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","Fruitful Rim","United States",2016,545.76,"Base survey of 2011"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","Fruitful Rim","United States",2017,423.15,"Base survey of 2011"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","Fruitful Rim","United States",2018,481.12,"Base survey of 2011"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","Fruitful Rim","United States",2019,460.04,"Base survey of 2019"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","Fruitful Rim","United States",2020,450.83,"Base survey of 2019"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","Fruitful Rim","United States",2021,387.92,"Base survey of 2019"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","Fruitful Rim","United States",2022,743.69,"Base survey of 2019"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","Fruitful Rim","United States",2023,742.72,"Base survey of 2019"
"Barley","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","Fruitful Rim","United States",2024,649.66,"Base survey of 2019"
"Barley","Gross value of production","Secondary product, silage/straw/grazing","dollars per planted acre","No specific size","U.S. total","United States",2003,7.99,"Base survey of 2003"
"Barley","Gross value of production","Secondary product, silage/straw/grazing","dollars per planted acre","No specific size","U.S. total","United States",2004,8.38,"Base survey of 2003"
"Barley","Gross value of production","Secondary product, silage/straw/grazing","dollars per planted acre","No specific size","U.S. total","United States",2005,9.14,"Base survey of 2003"
"Barley","Gross value of production","Secondary product, silage/straw/grazing","dollars per planted acre","No specific size","U.S. total","United States",2006,9.27,"Base survey of 2003"
"Barley","Gross value of production","Secondary product, silage/straw/grazing","dollars per planted acre","No specific size","U.S. total","United States",2007,11.56,"Base survey of 2003"
"Barley","Gross value of production","Secondary product, silage/straw/grazing","dollars per planted acre","No specific size","U.S. total","United States",2008,13.51,"Base survey of 2003"
"Barley","Gross value of production","Secondary product, silage/straw/grazing","dollars per planted acre","No specific size","U.S. total","United States",2009,11.94,"Base survey of 2003"
"Barley","Gross value of production","Secondary product, silage/straw/grazing","dollars per planted acre","No specific size","U.S. total","United States",2010,11.98,"Base survey of 2003"
"Barley","Gross value of production","Secondary product, silage/straw/grazing","dollars per planted acre","No specific size","U.S. total","United States",2011,11.76,"Base survey of 2011"
"Barley","Gross value of production","Secondary product, silage/straw/grazing","dollars per planted acre","No specific size","U.S. total","United States",2012,10.44,"Base survey of 2011"
"Barley","Gross value of production","Secondary product, silage/straw/grazing","dollars per planted acre","No specific size","U.S. total","United States",2013,11.07,"Base survey of 2011"
"Barley","Gross value of production","Secondary product, silage/straw/grazing","dollars per planted acre","No specific size","U.S. total","United States",2014,10.33,"Base survey of 2011"
"Barley","Gross value of production","Secondary product, silage/straw/grazing","dollars per planted acre","No specific size","U.S. total","United States",2015,8.18,"Base survey of 2011"
"Barley","Gross value of production","Secondary product, silage/straw/grazing","dollars per planted acre","No specific size","U.S. total","United States",2016,8.45,"Base survey of 2011"
"Barley","Gross value of production","Secondary product, silage/straw/grazing","dollars per planted acre","No specific size","U.S. total","United States",2017,9.23,"Base survey of 2011"
"Barley","Gross value of production","Secondary product, silage/straw/grazing","dollars per planted acre","No specific size","U.S. total","United States",2018,10.55,"Base survey of 2011"
"Barley","Gross value of production","Secondary product, silage/straw/grazing","dollars per planted acre","No specific size","U.S. total","United States",2019,13.84,"Base survey of 2019"
"Barley","Gross value of production","Secondary product, silage/straw/grazing","dollars per planted acre","No specific size","U.S. total","United States",2020,13.65,"Base survey of 2019"
"Barley","Gross value of production","Secondary product, silage/straw/grazing","dollars per planted acre","No specific size","U.S. total","United States",2021,18.15,"Base survey of 2019"
"Barley","Gross value of production","Secondary product, silage/straw/grazing","dollars per planted acre","No specific size","U.S. total","United States",2022,20.15,"Base survey of 2019"
"Barley","Gross value of production","Secondary product, silage/straw/grazing","dollars per planted acre","No specific size","U.S. total","United States",2023,17.11,"Base survey of 2019"
"Barley","Gross value of production","Secondary product, silage/straw/grazing","dollars per planted acre","No specific size","U.S. total","United States",2024,14.66,"Base survey of 2019"
"Barley","Gross value of production","Secondary product, silage/straw/grazing","dollars per planted acre","No specific size","Heartland","United States",2003,13.72,"Base survey of 2003"
"Barley","Gross value of production","Secondary product, silage/straw/grazing","dollars per planted acre","No specific size","Heartland","United States",2004,14.39,"Base survey of 2003"
"Barley","Gross value of production","Secondary product, silage/straw/grazing","dollars per planted acre","No specific size","Heartland","United States",2005,15.7,"Base survey of 2003"
"Barley","Gross value of production","Secondary product, silage/straw/grazing","dollars per planted acre","No specific size","Heartland","United States",2006,15.92,"Base survey of 2003"
"Barley","Gross value of production","Secondary product, silage/straw/grazing","dollars per planted acre","No specific size","Heartland","United States",2007,18.09,"Base survey of 2003"
"Barley","Gross value of production","Secondary product, silage/straw/grazing","dollars per planted acre","No specific size","Heartland","United States",2008,21.43,"Base survey of 2003"
"Barley","Gross value of production","Secondary product, silage/straw/grazing","dollars per planted acre","No specific size","Heartland","United States",2009,18.57,"Base survey of 2003"
