"Commodity","Category","Item","Units","Size","Region","Country","Year","Value","Survey base year"
"Oats","Operating costs","Repairs","dollars per planted acre","No specific size","Heartland","United States",2011,12.9,"Base survey of 2005"
"Oats","Operating costs","Repairs","dollars per planted acre","No specific size","Heartland","United States",2012,13.29,"Base survey of 2005"
"Oats","Operating costs","Repairs","dollars per planted acre","No specific size","Heartland","United States",2013,13.42,"Base survey of 2005"
"Oats","Operating costs","Repairs","dollars per planted acre","No specific size","Heartland","United States",2014,13.64,"Base survey of 2005"
"Oats","Operating costs","Repairs","dollars per planted acre","No specific size","Heartland","United States",2015,23.12,"Base survey of 2015"
"Oats","Operating costs","Repairs","dollars per planted acre","No specific size","Heartland","United States",2016,23.16,"Base survey of 2015"
"Oats","Operating costs","Repairs","dollars per planted acre","No specific size","Heartland","United States",2017,23.58,"Base survey of 2015"
"Oats","Operating costs","Repairs","dollars per planted acre","No specific size","Heartland","United States",2018,24.39,"Base survey of 2015"
"Oats","Operating costs","Repairs","dollars per planted acre","No specific size","Heartland","United States",2019,25.06,"Base survey of 2015"
"Oats","Operating costs","Repairs","dollars per planted acre","No specific size","Heartland","United States",2020,25.46,"Base survey of 2015"
"Oats","Operating costs","Repairs","dollars per planted acre","No specific size","Heartland","United States",2021,27.29,"Base survey of 2015"
"Oats","Operating costs","Repairs","dollars per planted acre","No specific size","Heartland","United States",2022,30.4,"Base survey of 2015"
"Oats","Operating costs","Repairs","dollars per planted acre","No specific size","Heartland","United States",2023,33.12,"Base survey of 2023"
"Oats","Operating costs","Repairs","dollars per planted acre","No specific size","Heartland","United States",2024,34.1,"Base survey of 2023"
"Oats","Operating costs","Repairs","dollars per planted acre","No specific size","Northern Crescent","United States",2005,11.89,"Base survey of 2005"
"Oats","Operating costs","Repairs","dollars per planted acre","No specific size","Northern Crescent","United States",2006,12.31,"Base survey of 2005"
"Oats","Operating costs","Repairs","dollars per planted acre","No specific size","Northern Crescent","United States",2007,12.65,"Base survey of 2005"
"Oats","Operating costs","Repairs","dollars per planted acre","No specific size","Northern Crescent","United States",2008,13.08,"Base survey of 2005"
"Oats","Operating costs","Repairs","dollars per planted acre","No specific size","Northern Crescent","United States",2009,13.33,"Base survey of 2005"
"Oats","Operating costs","Repairs","dollars per planted acre","No specific size","Northern Crescent","United States",2010,13.59,"Base survey of 2005"
"Oats","Operating costs","Repairs","dollars per planted acre","No specific size","Northern Crescent","United States",2011,14.1,"Base survey of 2005"
"Oats","Operating costs","Repairs","dollars per planted acre","No specific size","Northern Crescent","United States",2012,14.52,"Base survey of 2005"
"Oats","Operating costs","Repairs","dollars per planted acre","No specific size","Northern Crescent","United States",2013,14.66,"Base survey of 2005"
"Oats","Operating costs","Repairs","dollars per planted acre","No specific size","Northern Crescent","United States",2014,14.9,"Base survey of 2005"
"Oats","Operating costs","Repairs","dollars per planted acre","No specific size","Northern Crescent","United States",2015,24.68,"Base survey of 2015"
"Oats","Operating costs","Repairs","dollars per planted acre","No specific size","Northern Crescent","United States",2016,24.73,"Base survey of 2015"
"Oats","Operating costs","Repairs","dollars per planted acre","No specific size","Northern Crescent","United States",2017,25.17,"Base survey of 2015"
"Oats","Operating costs","Repairs","dollars per planted acre","No specific size","Northern Crescent","United States",2018,26.03,"Base survey of 2015"
"Oats","Operating costs","Repairs","dollars per planted acre","No specific size","Northern Crescent","United States",2019,26.76,"Base survey of 2015"
"Oats","Operating costs","Repairs","dollars per planted acre","No specific size","Northern Crescent","United States",2020,27.18,"Base survey of 2015"
"Oats","Operating costs","Repairs","dollars per planted acre","No specific size","Northern Crescent","United States",2021,29.14,"Base survey of 2015"
"Oats","Operating costs","Repairs","dollars per planted acre","No specific size","Northern Crescent","United States",2022,32.45,"Base survey of 2015"
"Oats","Operating costs","Repairs","dollars per planted acre","No specific size","Northern Crescent","United States",2023,36.93,"Base survey of 2023"
"Oats","Operating costs","Repairs","dollars per planted acre","No specific size","Northern Crescent","United States",2024,37.59,"Base survey of 2023"
"Oats","Operating costs","Repairs","dollars per planted acre","No specific size","Northern Great Plains","United States",2005,12.65,"Base survey of 2005"
"Oats","Operating costs","Repairs","dollars per planted acre","No specific size","Northern Great Plains","United States",2006,13.1,"Base survey of 2005"
"Oats","Operating costs","Repairs","dollars per planted acre","No specific size","Northern Great Plains","United States",2007,13.46,"Base survey of 2005"
"Oats","Operating costs","Repairs","dollars per planted acre","No specific size","Northern Great Plains","United States",2008,13.92,"Base survey of 2005"
"Oats","Operating costs","Repairs","dollars per planted acre","No specific size","Northern Great Plains","United States",2009,14.19,"Base survey of 2005"
"Oats","Operating costs","Repairs","dollars per planted acre","No specific size","Northern Great Plains","United States",2010,14.46,"Base survey of 2005"
"Oats","Operating costs","Repairs","dollars per planted acre","No specific size","Northern Great Plains","United States",2011,15,"Base survey of 2005"
"Oats","Operating costs","Repairs","dollars per planted acre","No specific size","Northern Great Plains","United States",2012,15.45,"Base survey of 2005"
"Oats","Operating costs","Repairs","dollars per planted acre","No specific size","Northern Great Plains","United States",2013,15.6,"Base survey of 2005"
"Oats","Operating costs","Repairs","dollars per planted acre","No specific size","Northern Great Plains","United States",2014,15.85,"Base survey of 2005"
"Oats","Operating costs","Repairs","dollars per planted acre","No specific size","Northern Great Plains","United States",2015,27.06,"Base survey of 2015"
"Oats","Operating costs","Repairs","dollars per planted acre","No specific size","Northern Great Plains","United States",2016,27.11,"Base survey of 2015"
"Oats","Operating costs","Repairs","dollars per planted acre","No specific size","Northern Great Plains","United States",2017,27.6,"Base survey of 2015"
"Oats","Operating costs","Repairs","dollars per planted acre","No specific size","Northern Great Plains","United States",2018,28.54,"Base survey of 2015"
"Oats","Operating costs","Repairs","dollars per planted acre","No specific size","Northern Great Plains","United States",2019,29.34,"Base survey of 2015"
"Oats","Operating costs","Repairs","dollars per planted acre","No specific size","Northern Great Plains","United States",2020,29.8,"Base survey of 2015"
"Oats","Operating costs","Repairs","dollars per planted acre","No specific size","Northern Great Plains","United States",2021,31.95,"Base survey of 2015"
"Oats","Operating costs","Repairs","dollars per planted acre","No specific size","Northern Great Plains","United States",2022,35.58,"Base survey of 2015"
"Oats","Operating costs","Repairs","dollars per planted acre","No specific size","Northern Great Plains","United States",2023,39.8,"Base survey of 2023"
"Oats","Operating costs","Repairs","dollars per planted acre","No specific size","Northern Great Plains","United States",2024,40.27,"Base survey of 2023"
"Oats","Operating costs","Repairs","dollars per planted acre","No specific size","Prairie Gateway","United States",2005,9.31,"Base survey of 2005"
"Oats","Operating costs","Repairs","dollars per planted acre","No specific size","Prairie Gateway","United States",2006,9.64,"Base survey of 2005"
"Oats","Operating costs","Repairs","dollars per planted acre","No specific size","Prairie Gateway","United States",2007,9.91,"Base survey of 2005"
"Oats","Operating costs","Repairs","dollars per planted acre","No specific size","Prairie Gateway","United States",2008,10.24,"Base survey of 2005"
"Oats","Operating costs","Repairs","dollars per planted acre","No specific size","Prairie Gateway","United States",2009,10.44,"Base survey of 2005"
"Oats","Operating costs","Repairs","dollars per planted acre","No specific size","Prairie Gateway","United States",2010,10.64,"Base survey of 2005"
"Oats","Operating costs","Repairs","dollars per planted acre","No specific size","Prairie Gateway","United States",2011,11.04,"Base survey of 2005"
"Oats","Operating costs","Repairs","dollars per planted acre","No specific size","Prairie Gateway","United States",2012,11.37,"Base survey of 2005"
"Oats","Operating costs","Repairs","dollars per planted acre","No specific size","Prairie Gateway","United States",2013,11.48,"Base survey of 2005"
"Oats","Operating costs","Repairs","dollars per planted acre","No specific size","Prairie Gateway","United States",2014,11.67,"Base survey of 2005"
"Oats","Operating costs","Repairs","dollars per planted acre","No specific size","Prairie Gateway","United States",2015,22.95,"Base survey of 2015"
"Oats","Operating costs","Repairs","dollars per planted acre","No specific size","Prairie Gateway","United States",2016,22.99,"Base survey of 2015"
"Oats","Operating costs","Repairs","dollars per planted acre","No specific size","Prairie Gateway","United States",2017,23.41,"Base survey of 2015"
"Oats","Operating costs","Repairs","dollars per planted acre","No specific size","Prairie Gateway","United States",2018,24.21,"Base survey of 2015"
"Oats","Operating costs","Repairs","dollars per planted acre","No specific size","Prairie Gateway","United States",2019,24.88,"Base survey of 2015"
"Oats","Operating costs","Repairs","dollars per planted acre","No specific size","Prairie Gateway","United States",2020,25.27,"Base survey of 2015"
"Oats","Operating costs","Repairs","dollars per planted acre","No specific size","Prairie Gateway","United States",2021,27.09,"Base survey of 2015"
"Oats","Operating costs","Repairs","dollars per planted acre","No specific size","Prairie Gateway","United States",2022,30.17,"Base survey of 2015"
"Oats","Operating costs","Repairs","dollars per planted acre","No specific size","Eastern Uplands","United States",2023,28.59,"Base survey of 2023"
"Oats","Operating costs","Repairs","dollars per planted acre","No specific size","Eastern Uplands","United States",2024,28.81,"Base survey of 2023"
