"Commodity","Category","Item","Units","Size","Region","Country","Year","Value","Survey base year"
"Rice","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","U.S. total","United States",2000,368.77,"Base survey of 2000"
"Rice","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","U.S. total","United States",2001,328.67,"Base survey of 2000"
"Rice","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","U.S. total","United States",2002,280.56,"Base survey of 2000"
"Rice","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","U.S. total","United States",2003,449.69,"Base survey of 2000"
"Rice","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","U.S. total","United States",2004,602.33,"Base survey of 2000"
"Rice","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","U.S. total","United States",2005,469.14,"Base survey of 2000"
"Rice","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","U.S. total","United States",2006,620.64,"Base survey of 2006"
"Rice","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","U.S. total","United States",2007,779.76,"Base survey of 2006"
"Rice","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","U.S. total","United States",2008,1287.36,"Base survey of 2006"
"Rice","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","U.S. total","United States",2009,1072.26,"Base survey of 2006"
"Rice","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","U.S. total","United States",2010,795.75,"Base survey of 2006"
"Rice","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","U.S. total","United States",2011,1069.94,"Base survey of 2006"
"Rice","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","U.S. total","United States",2012,1166.1,"Base survey of 2006"
"Rice","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","U.S. total","United States",2013,1395.23,"Base survey of 2013"
"Rice","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","U.S. total","United States",2014,1152.1,"Base survey of 2013"
"Rice","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","U.S. total","United States",2015,1060.29,"Base survey of 2013"
"Rice","Gross value of production","Primary product, grain","dollars per planted acre","No specific size","U.S. total","United States",2016,863.46,"Base survey of 2013"
