commodity_year,state_code,county_code,state_name,state_abbreviation,county_name,total_indemnity,insured_acres,n_crops,shannon,simpson,dominance,evenness,county_land_acres,indemnity_per_acre,pct_land_insured
1999,01,001,Alabama,AL,Autauga,123907.0,12279.75,6.0,0.6396732919575197,0.2884239330451941,0.8377980007736314,0.3570084617625102,381420.80000000005,10.090352002280177,0.032194757076698485
1999,01,003,Alabama,AL,Baldwin,301206.0,41446.6,9.0,1.6231335121467336,0.7387884996536105,0.3620996655938002,0.7387198964042725,1021664.0,7.267327114890003,0.040567740470448206
1999,01,005,Alabama,AL,Barbour,630378.0,21103.95,6.0,1.009027419332093,0.5571411827547705,0.5935196965496979,0.5631489252108225,566336.0,29.870142793173788,0.03726400935133914
1999,01,009,Alabama,AL,Blount,12209.0,3341.6,1.0,-0.0,0.0,1.0,0.0,413177.60000000003,3.653638975341154,0.008087563314177728
1999,01,011,Alabama,AL,Bullock,171920.0,2663.62,3.0,0.9004428864406007,0.5439430249873659,0.590962674856023,0.8196184365753294,400006.4,64.54374122434882,0.006658943456904689
1999,01,013,Alabama,AL,Butler,65936.0,2901.53,1.0,-0.0,0.0,1.0,0.0,497196.8,22.724562558374373,0.005835777704120381
1999,01,015,Alabama,AL,Calhoun,45978.0,5394.33,1.0,-0.0,0.0,1.0,0.0,389414.4,8.523394008153005,0.01385241531900207
1999,01,019,Alabama,AL,Cherokee,1545310.0,24594.95,5.0,0.6642725708917055,0.3362528770258062,0.8017499527341995,0.41273575436474297,353996.8,62.8303777808046,0.06947788793571016
1999,01,021,Alabama,AL,Chilton,893789.0,3464.9,3.0,0.7390095914725705,0.5023585689477496,0.5612571791393691,0.6726755190118076,444147.2,257.95520794250916,0.0078012424709645815
1999,01,023,Alabama,AL,Choctaw,1621.0,644.6,1.0,-0.0,0.0,1.0,0.0,584646.4,2.514737821905057,0.0011025467701502995
1999,01,025,Alabama,AL,Clarke,146474.0,1270.0,1.0,-0.0,0.0,1.0,0.0,792563.2000000001,115.33385826771654,0.0016023958720263569
1999,01,029,Alabama,AL,Cleburne,0.0,676.12,1.0,-0.0,0.0,1.0,0.0,358534.4,0.0,0.0018857883650773815
1999,01,031,Alabama,AL,Coffee,3065223.0,50133.6,7.0,1.169250806806868,0.6315902151826689,0.4813777586289435,0.6008760514325432,434553.6,61.14109100483508,0.11536804665753546
1999,01,033,Alabama,AL,Colbert,715208.0,37925.82,3.0,0.715084737336633,0.39532152954905697,0.7572593025015676,0.650898178285952,380499.19999999995,18.858076107517252,0.09967384951137875
1999,01,035,Alabama,AL,Conecuh,90599.0,7922.4800000000005,5.0,1.0765365291135816,0.5897109629652162,0.5720683422362695,0.6688897538678189,544505.6,11.435686805141824,0.014549859542307739
1999,01,039,Alabama,AL,Covington,835004.0,27680.22,6.0,0.9968686724974178,0.5701812196525173,0.5345568062681583,0.556362999396844,661644.7999999999,30.16608972038517,0.04183546821496973
1999,01,041,Alabama,AL,Crenshaw,349386.0,10269.44,4.0,1.0686798005699027,0.6276583460351026,0.44181474354979433,0.7708895242902026,390131.2,34.02191356101209,0.02632304209455691
1999,01,043,Alabama,AL,Cullman,29851.0,5719.2,1.0,-0.0,0.0,1.0,0.0,472595.19999999995,5.219436284795076,0.012101688717955663
1999,01,045,Alabama,AL,Dale,887592.0,27337.54,5.0,1.0626761471734727,0.5901483244726631,0.5568767343367399,0.6602778143620901,359084.80000000005,32.467881162679596,0.07613115342114174
1999,01,047,Alabama,AL,Dallas,153218.0,22356.010000000002,6.0,1.1202580767920323,0.5860981369461445,0.5690407188044736,0.6252279371374964,627654.4,6.853548553610415,0.03561834347054685
1999,01,049,Alabama,AL,De Kalb,366294.0,15006.65,5.0,1.0371756922525694,0.58253788980401,0.5132078112036997,0.6444334908725704,497862.39999999997,24.408778774743197,0.030142163778586212
1999,01,051,Alabama,AL,Elmore,113230.0,15531.55,4.0,0.5465996875175825,0.25016714208070456,0.8618701932518005,0.3942883292665367,397606.4,7.290321957563798,0.03906262575250297
1999,01,053,Alabama,AL,Escambia,575448.0,35726.65,6.0,0.9239135467700486,0.419911072775244,0.751854707900125,0.5156459684670169,606323.2,16.1069677677588,0.05892344215098483
1999,01,055,Alabama,AL,Etowah,253330.0,4570.24,3.0,0.6202225884177318,0.32745965777346486,0.8088524891471781,0.5645509292178514,342284.80000000005,55.43034939084162,0.013352155865524847
1999,01,057,Alabama,AL,Fayette,109721.0,2964.49,3.0,0.8335126475299051,0.5110243401567479,0.6193206925980522,0.7586959076713085,401702.39999999997,37.011762562869166,0.007379816500971864
1999,01,059,Alabama,AL,Franklin,167542.0,5259.0,1.0,-0.0,0.0,1.0,0.0,406809.6,31.85814793687013,0.012927423541627337
1999,01,061,Alabama,AL,Geneva,6718819.0,66037.34,9.0,1.2824068508845918,0.6437460015838775,0.47928399296519214,0.5836485100850743,368819.19999999995,101.74272616068424,0.1790507110258902
1999,01,063,Alabama,AL,Greene,41362.0,1944.3,1.0,-0.0,0.0,1.0,0.0,413356.8,21.273466028905005,0.004703684565005342
1999,01,065,Alabama,AL,Hale,87857.0,6465.06,1.0,-0.0,0.0,1.0,0.0,411993.6,13.589510383507655,0.015692136965234412
1999,01,067,Alabama,AL,Henry,2584525.0,50741.92,7.0,0.9317427081219916,0.5324040931487886,0.5972249374875842,0.47882103321899394,359552.0,50.93471039330006,0.141125400498398
1999,01,069,Alabama,AL,Houston,4394902.0,80730.53,7.0,1.1549226415241516,0.5834981712037592,0.5819351117848477,0.5935128310445553,371430.4,54.43915703266162,0.21735035689055068
1999,01,071,Alabama,AL,Jackson,539460.0,36596.1,5.0,1.1166777529118153,0.6073016092211942,0.5111946354939461,0.6938308985296371,690393.6,14.740915015534442,0.05300758871461149
1999,01,075,Alabama,AL,Lamar,17197.0,2282.04,1.0,-0.0,0.0,1.0,0.0,387104.0,7.5358013005907,0.005895159957014136
1999,01,077,Alabama,AL,Lauderdale,1080947.0,34826.88,5.0,0.9838507168872099,0.5260329799852498,0.64692415743242,0.6113008207935418,428454.4,31.037721438153522,0.0812849162011173
1999,01,079,Alabama,AL,Lawrence,1545376.0,53269.26,4.0,0.8205110549333784,0.4315046331322824,0.732803684526498,0.5918736149734785,443763.2,29.01065267285485,0.12003983205457325
1999,01,081,Alabama,AL,Lee,38504.0,2659.62,1.0,-0.0,0.0,1.0,0.0,389574.4,14.477256149374723,0.006826988631696538
1999,01,083,Alabama,AL,Limestone,1515256.0,83180.97,5.0,0.7612082554833822,0.38955811503413285,0.7644843526109397,0.4729652816070036,363552.0,18.216378097057536,0.22880074927383154
1999,01,085,Alabama,AL,Lowndes,27023.0,5141.5,1.0,-0.0,0.0,1.0,0.0,459481.60000000003,5.255859185062725,0.011189784313452376
1999,01,087,Alabama,AL,Macon,44231.0,6620.299999999999,3.0,0.5154230454236939,0.2752996112934114,0.8409437638777699,0.4691582742521124,390732.8,6.681117169916772,0.016943292193539933
1999,01,089,Alabama,AL,Madison,1108216.0,88739.84,5.0,1.1988649862245435,0.6452342988349831,0.4943021082751558,0.7448966977616367,515148.8,12.48837049965382,0.1722605973264424
1999,01,091,Alabama,AL,Marengo,24237.0,4304.7,1.0,-0.0,0.0,1.0,0.0,625305.6,5.63035751620322,0.006884153924097273
1999,01,093,Alabama,AL,Marion,32393.0,3145.0400000000004,1.0,-0.0,0.0,1.0,0.0,474502.39999999997,10.299710019586396,0.006628080279467503
1999,01,095,Alabama,AL,Marshall,48067.0,7219.71,4.0,1.07912921714138,0.6189390729009312,0.4311461263679567,0.7784271850241292,362918.39999999997,6.657746640793051,0.01989348018728177
1999,01,097,Alabama,AL,Mobile,74052.0,14395.699999999999,4.0,0.3406594651647509,0.1400704091896804,0.9262488104086638,0.24573386051253635,789177.6,5.144036066325361,0.018241394585958852
1999,01,099,Alabama,AL,Monroe,499781.0,29091.23,5.0,0.21792194348422267,0.08748795085319572,0.9545705011441593,0.13540251649387292,656544.0,17.179782360525834,0.04430964261344251
1999,01,101,Alabama,AL,Montgomery,0.0,4519.4,1.0,-0.0,0.0,1.0,0.0,505446.4,0.0,0.00894140308448136
1999,01,103,Alabama,AL,Morgan,26034.0,9542.08,5.0,1.339314528716222,0.7221173460942065,0.37797419430564405,0.8321629050546312,372614.4,2.7283359602937725,0.025608457429449852
1999,01,105,Alabama,AL,Perry,185446.0,9383.26,4.0,0.7123944493458815,0.447145224734421,0.6810170452486662,0.5138839696140636,460467.2,19.763493711140903,0.020377694654472676
1999,01,107,Alabama,AL,Pickens,55992.0,7715.700000000001,1.0,-0.0,0.0,1.0,0.0,564108.7999999999,7.256891792060344,0.01367768061763972
1999,01,109,Alabama,AL,Pike,995090.0,21675.67,4.0,0.9660589121525635,0.5793365734197609,0.49116682437036546,0.696864200884545,429459.19999999995,45.90815416547678,0.050472012242373666
1999,01,111,Alabama,AL,Randolph,0.0,,,,,,,371872.0,,
1999,01,113,Alabama,AL,Russell,61522.0,8184.48,6.0,1.0148032032565744,0.5134146969300535,0.65830694191934,0.5663724515957395,410444.80000000005,7.516910054151272,0.019940513316285158
1999,01,117,Alabama,AL,Shelby,8430.0,4695.2,1.0,-0.0,0.0,1.0,0.0,508601.60000000003,1.795450673027773,0.009231587159772993
1999,01,119,Alabama,AL,Sumter,3451.0,2430.3199999999997,1.0,-0.0,0.0,1.0,0.0,579161.6000000001,1.4199776161163964,0.004196272681061727
1999,01,121,Alabama,AL,Talladega,170531.0,16467.8,1.0,-0.0,0.0,1.0,0.0,473299.19999999995,10.35542088196359,0.03479363582275229
1999,01,123,Alabama,AL,Tallapoosa,1590.0,719.5,1.0,-0.0,0.0,1.0,0.0,459475.19999999995,2.209867963863794,0.0015659169417631246
1999,01,125,Alabama,AL,Tuscaloosa,20119.0,8953.599999999999,1.0,-0.0,0.0,1.0,0.0,847596.7999999999,2.247029127948535,0.01056351321760535
1999,01,129,Alabama,AL,Washington,2808.0,2803.7,1.0,-0.0,0.0,1.0,0.0,691622.4,1.0015336876270644,0.004053801611977865
1999,01,131,Alabama,AL,Wilcox,144980.0,3886.5,1.0,-0.0,0.0,1.0,0.0,568755.2,37.30348642737682,0.006833344117117523
1999,01,999,Alabama,AL,All Other Counties,40034.0,1125.9,1.0,-0.0,0.0,1.0,0.0,,35.557331912247975,
1999,02,240,Alaska,AK,Southeast Fairbanks,8798.0,5220.7,1.0,-0.0,0.0,1.0,0.0,15881510.4,1.685214626391097,0.0003287281794054046
1999,02,999,Alaska,AK,All Other Counties,0.0,45.0,1.0,-0.0,0.0,1.0,0.0,,0.0,
