spec,group,coef,ci_lo,ci_hi,p,sig,n,r2
"A3 baseline
(state+year FE)",Baseline,0.39638175395761566,0.2821918491222558,0.5105716587929755,1.0208920784619023e-11,***,8084,0.2984405794559599
"ERS region FE
(9 agro-climate zones)",Check 1: Geography,0.3766339621796649,0.26356092333941095,0.4897070010199188,6.64642994531647e-11,***,7971,0.25287736149866524
"Scale-invariant only
(Shannon+Evenness)",Check 2: Scale,0.04082390009725195,-0.016720586590160867,0.09836838678466478,0.1643888846575342,ns,8084,0.29232496778332306
"Size Q1 small
(insured acres)",Check 2: Scale,-0.07437641957205779,-0.5304228361465129,0.38166999700239723,0.7492338885394305,ns,2021,0.42317707656625503
"Size Q2
(insured acres)",Check 2: Scale,0.4417005557087176,0.18856379185274763,0.6948373195646875,0.000626307314589279,***,2021,0.2787126965800878
"Size Q3
(insured acres)",Check 2: Scale,0.22268581930214332,-0.040742344117067786,0.4861139827213544,0.09755346472789544,ns,2021,0.271557720795367
"Size Q4 large
(insured acres)",Check 2: Scale,0.6242407540629844,0.374611669709197,0.8738698384167718,9.523878916268262e-07,***,2021,0.36672883994881467
"+ Crop shares
(corn/soy/wheat/cotton)",Check 3: Commodity,0.2694597518583913,0.1585519064366144,0.3803675972801682,1.9178437361568387e-06,***,8084,0.3088556406827254
"Crop-mix-adjusted
residual as target",Check 3: Commodity,0.9531386055217502,0.6809000942456567,1.2253771167978438,6.787394749299699e-12,***,8084,0.4966006471339327
"+ pct_land_insured
(selection control)",Check 4: Selection,0.36096518182027537,0.246047649662606,0.47588271397794474,7.441524229466484e-10,***,7981,0.3001057201619717
